card_id	doc_id	doc_types	authors_id	addresse_id	persons_id	key_words	date
890861	765177	Письмо	444309	440276	440986,440512,440360,440154	\N	1960-01-05 17:00:00
890862	765178	Письмо	440997	\N	444258	\N	1960-02-12 17:00:00
890863	765179	Письмо	440997	444309	444258	\N	1960-03-01 17:00:00
890864	765180	Письмо	444309	440262	761104	\N	1960-03-22 17:00:00
890865	765181	Письмо	444309	440262	440255	\N	1960-04-01 17:00:00
890866	765182	Письмо	444309	\N	444290	\N	1960-03-11 17:00:00
890867	765183	Письмо	\N	\N	\N	\N	1960-09-01 17:00:00
890868	765184	Письмо	440997	441035	444258	\N	1961-04-02 17:00:00
890869	765185	Письмо	440997	441035	444258	\N	1961-04-15 17:00:00
890870	765186	Письмо	441035	440282	443419	\N	1964-08-26 17:00:00
890871	765187	Письмо	444309	440311	\N	\N	1959-12-15 17:00:00
890872	765188	Письмо	444309	440350	440122	\N	1960-02-03 17:00:00
890873	765189	Письмо	440350,440122	444309	\N	\N	1959-08-10 17:00:00
890874	765190	Письмо	441035,442990,440997	443823,443614	\N	\N	1963-12-04 17:00:00
890875	765191	Письмо	444258	440711	\N	\N	1969-01-24 00:00:00
890876	765192	Письмо	444258	443970	\N	\N	1969-01-03 17:00:00
890877	765193	Письмо	444258	442936	444344,444321,443970	\N	1969-01-03 17:00:00
890878	765194	Письмо	444258	441916	\N	\N	1969-01-10 17:00:00
890879	765195	Письмо	444309	\N	\N	\N	1959-07-29 17:00:00
890880	765196	Письмо	444309	\N	\N	\N	1959-07-29 17:00:00
890881	765197	Письмо	444309	\N	\N	\N	1959-07-29 17:00:00
890882	765198	Письмо	444309	\N	\N	\N	1959-07-29 17:00:00
890883	765199	Письмо	444309	\N	\N	\N	1959-10-09 17:00:00
890884	765200	Письмо	444309	440039	440027	\N	1959-11-09 17:00:00
890885	765201	Письмо	440104	440197	\N	\N	1959-11-29 17:00:00
890886	765202	Письмо	444258,440997	440198	\N	\N	1962-03-27 17:00:00
890887	765203	Письмо	440997	440198	444258	\N	1962-03-28 17:00:00
890888	765204	Письмо	440997	440198	444258	\N	1962-05-05 17:00:00
890889	765205	Письмо	440997	441035	440144	\N	1962-07-31 17:00:00
890890	765206	Письмо	440997	441035	444258	\N	1962-12-01 17:00:00
890891	765207	Письмо	442990	440272	\N	\N	1963-01-19 17:00:00
890892	765208	Письмо	442990	442435	444258	\N	1963-01-31 17:00:00
890893	765209	Письмо	442990	761105	444253	\N	1963-03-01 17:00:00
890894	765210	Письмо	442990	\N	\N	\N	1963-09-01 17:00:00
890895	765211	Письмо	442990	440365	\N	\N	1963-09-19 17:00:00
890896	765212	Письмо	442990	443821	440142,444271	\N	1963-11-02 17:00:00
890897	765213	Письмо	442990	441458	444260	\N	1963-01-03 17:00:00
890898	765214	Письмо	442990	\N	444237	\N	1963-11-19 17:00:00
890899	765215	Письмо	442990	444209	444260	\N	1963-01-06 17:00:00
890900	765216	Письмо	442990	441035	444258	\N	1964-01-13 17:00:00
890901	765217	Письмо	443778	\N	444258	\N	1964-01-30 17:00:00
890902	765218	Письмо	444309	\N	440986	\N	1959-12-08 17:00:00
890903	765219	Письмо	444309	440039	761102,444258	\N	1959-12-11 17:00:00
890904	765220	Письмо	444309	\N	441496,440229,440072,440090	\N	1959-12-15 17:00:00
890905	765221	Письмо	444309	440039	761103	\N	1959-12-15 17:00:00
890906	765222	Письмо	444309	\N	\N	\N	1959-12-15 17:00:00
890907	765223	Письмо	444309	440262	\N	\N	1959-12-23 17:00:00
890908	765224	Письмо	440104	440276	\N	\N	1960-01-13 17:00:00
890909	765225	Письмо	440104	440039	443321,440106	\N	1960-01-12 17:00:00
890910	765226	Письмо	444309	440039	\N	\N	1960-01-06 17:00:00
890911	765227	Письмо	440997	440267	444256,440110,444258,444253	\N	1961-06-09 17:00:00
890912	765228	Письмо	440997	441035	442937	\N	1961-06-25 17:00:00
890913	765229	Директивные указания	440997	444258	\N	\N	1962-02-01 17:00:00
890914	765230	Письмо	440997	441035	444258	\N	1962-02-01 17:00:00
890915	765231	Письмо	440997	441035	444258	\N	1962-02-01 17:00:00
890916	765232	Письмо	440997	441035	444258	\N	1962-02-19 17:00:00
890917	765233	Письмо	440997	441035	444258	\N	1962-03-03 17:00:00
890918	765234	Письмо	440997	\N	444258	\N	1962-03-20 17:00:00
890919	765235	Письмо	440997	441035	444258	\N	1962-03-27 17:00:00
890920	765236	Письмо	440104	\N	443321,444404,441208,441405,441398,440246,444258,440998,444154,442678	\N	1958-10-08 00:00:00
890921	765237	Письмо	444309	\N	440246,444258	\N	1959-01-08 17:00:00
890922	765238	Письмо	444309	440071	444258	\N	1959-01-10 17:00:00
890923	765239	Письмо	440104	\N	440986,440798,443827,440111,440215,444258	\N	1959-01-12 17:00:00
890924	765240	Письмо	444309	440039	440144,440246,444258,441351	\N	1959-05-14 17:00:00
890925	765241	Письмо	440104	\N	440246,444258,441351	\N	1959-06-20 17:00:00
890926	765242	Телеграмма	444258	442936	\N	\N	1969-01-16 17:00:00
890927	765243	Телеграмма	444258	440848	442936	\N	1969-01-16 17:00:00
890928	765244	Письмо	444258	441810	\N	\N	1969-01-17 17:00:00
890929	765245	Письмо	444258	444269	442662,442990	\N	1969-01-17 17:00:00
890930	765246	Письмо	444258	440077	\N	\N	1969-02-12 17:00:00
890931	765247	Телеграмма	444258	442565	\N	\N	1969-02-14 17:00:00
890932	765248	Телеграмма	444258	440069	\N	\N	1969-03-18 17:00:00
890933	765249	Сопроводительное письмо	444258	442798	\N	\N	1969-03-26 17:00:00
890934	765250	Письмо	444258	444269	\N	\N	1969-03-26 17:00:00
890935	765251	Письмо	444258	442877	444237,444253	\N	1969-03-26 17:00:00
890936	765252	Телеграмма	444258	440069	\N	\N	1969-04-03 17:00:00
890937	765253	Письмо	444258	441730	\N	\N	1969-04-04 17:00:00
890938	765254	Письмо	444258	441468	\N	\N	1969-04-07 17:00:00
890939	765255	Письмо	444258	441571	\N	\N	1969-04-09 17:00:00
890940	765256	Письмо	444258	441638	\N	\N	1969-04-09 17:00:00
890941	765257	Письмо	444258	441696	443821	\N	1969-05-05 17:00:00
890942	765258	Письмо	444258	441763	441880	\N	1969-05-05 17:00:00
890943	765259	Письмо	444258	443419	441763	\N	1969-05-05 17:00:00
890944	765260	Письмо	444258	441068	\N	\N	1969-05-05 17:00:00
890945	765261	Письмо	444258	442202	\N	\N	1969-05-05 17:00:00
890946	765262	Письмо	444258	\N	\N	\N	1969-05-12 17:00:00
890947	765263	Письмо	444258	441068	\N	\N	1969-05-14 17:00:00
890948	765264	Телеграмма	444258	440069	\N	АЛГОЛ 68	1969-05-14 17:00:00
890949	765265	Письмо	444258	440069	\N	АЛГОЛ 68	1969-06-09 17:00:00
890950	765266	Письмо	444258	761106,444321	440416,440140,441605,761107,442765,440328,440369,440834	\N	1969-06-09 17:00:00
890951	765267	Письмо	444258	442642	\N	\N	1969-06-25 17:00:00
890952	765268	Письмо	444258	441068	442654	\N	1969-06-25 17:00:00
890953	765269	Письмо	444258	440210	\N	\N	1969-06-25 17:00:00
890954	765270	Письмо	442990	443718	440105	\N	1969-06-30 17:00:00
890955	765271	Телеграмма	444258	442845	\N	\N	1969-08-05 17:00:00
890956	765272	Письмо	444258	442261	\N	\N	1969-08-12 17:00:00
890957	765273	Письмо	444258	441690	\N	\N	1969-08-12 17:00:00
890958	765274	Письмо	444258	442653	\N	\N	1969-08-12 17:00:00
890959	765275	Письмо	444258	441571	\N	АЛГОЛ 68	1969-08-12 17:00:00
890960	765276	Телеграмма	444258	444321	\N	\N	1969-08-12 17:00:00
890961	765277	Телеграмма	444258	442202	\N	\N	1969-08-12 17:00:00
890962	765278	Письмо	444258	442551	\N	\N	1969-08-15 17:00:00
890963	765279	Письмо	444258	442651	442396,442990	\N	1969-08-15 17:00:00
890964	765280	Письмо	444258	442877	440119,443326	ЛИСП,АИСТ-0,ВКП-2	1969-08-15 17:00:00
890965	765281	Письмо	444258	441959	\N	\N	1969-08-15 17:00:00
890966	765282	Письмо	444258	443295	\N	\N	1969-08-15 17:00:00
