group_id	parent_theme	parent_group
763118	395456	\N
763119	395456	\N
763120	395456	\N
763121	395456	\N
763122	395456	\N
763123	395456	\N
763124	395456	\N
763125	395456	\N
763126	395456	\N
763127	395466	\N
763128	395456	\N
763129	395456	\N
763130	395456	\N
763131	395459	\N
763132	395456	\N
763133	395456	\N
763134	395456	\N
763135	395456	\N
763136	395456	\N
763137	395456	\N
763138	395456	\N
763139	395456	\N
763140	395456	\N
763141	395456	\N
763142	395456	\N
763143	395456	\N
763144	395456	\N
763145	395456	\N
763146	395456	\N
763147	395456	\N
763148	395456	\N
763149	395456	\N
763150	395456	\N
763151	395456	\N
763152	395456	\N
763153	395456	\N
763154	395456	\N
763155	395456	\N
763156	395456	\N
763157	395456	\N
763158	395456	\N
763159	395456	\N
763160	395456	\N
763161	395456	\N
763162	395456	\N
763163	395456	\N
763164	395456	\N
763165	395456	\N
763166	395456	\N
763167	395456	\N
763168	395456	\N
763169	395456	\N
763170	395456	\N
763171	395456	\N
763172	395456	\N
763173	395456	\N
763174	395456	\N
763175	395456	\N
763176	395456	\N
763177	395456	\N
763178	395456	\N
763179	395456	\N
763180	395456	\N
763181	395456	\N
763182	395456	\N
763183	395456	\N
763184	395456	\N
763185	395456	\N
763186	395456	\N
763187	395456	\N
763188	395456	\N
763189	395456	\N
763190	395456	\N
763191	395437	\N
763192	395456	\N
763193	395456	\N
763194	395456	\N
763195	395456	\N
763196	395456	\N
763197	395456	\N
763198	395456	\N
763199	395456	\N
763200	395456	\N
763201	395456	\N
763202	395456	\N
763203	395456	\N
763204	395463	\N
763205	395456	\N
763206	395456	\N
763207	395456	\N
763208	395456	\N
763209	395456	\N
763210	395456	\N
763211	395456	\N
763212	395456	\N
763213	395456	\N
763214	395456	\N
763215	395456	\N
763216	395456	\N
763217	395456	\N
763218	395456	\N
763219	395456	\N
763220	395456	\N
763221	395456	\N
763222	395456	\N
763223	395456	\N
763224	395456	\N
763225	395439	\N
763226	395456	\N
763227	395456	\N
763228	395456	\N
763229	395456	\N
763230	395456	\N
763231	395456	\N
763232	395456	\N
763233	395456	\N
763234	395454	\N
763235	395456	\N
763236	395456	\N
763237	395456	\N
763238	395456	\N
763239	395456	\N
763240	395456	\N
763241	395456	\N
763242	395456	\N
763243	395446	\N
763244	395446	\N
763245	395446	\N
763246	395446	\N
763247	395466	\N
763248	395466	\N
763249	395466	\N
763250	395466	\N
763251	395466	\N
763252	395466	\N
763253	395466	\N
763254	395466	\N
763255	395442	\N
763256	395442	\N
763257	395457	\N
763258	395437	\N
763259	395437	\N
763260	395441	\N
763261	395441	\N
763262	395441	\N
763263	395453	\N
763264	395453	\N
763265	395453	\N
763266	395453	\N
763267	395453	\N
763268	395453	\N
763269	395453	\N
763270	395453	\N
763271	395453	\N
763272	395453	\N
763273	395453	\N
763274	395445	\N
763275	395438	\N
763276	395462	\N
763277	395466	\N
763278	395466	\N
763279	395466	\N
763280	395466	\N
763281	395466	\N
763282	395445	\N
763283	395445	\N
763284	395452	\N
763285	395443	\N
763286	395464	\N
763287	395464	\N
763288	395464	\N
763289	395464	\N
763290	395464	\N
763291	395464	\N
763292	395464	\N
763293	395464	\N
763294	395464	\N
763295	395464	\N
763296	395464	\N
763297	395464	\N
763298	395464	\N
763299	395464	\N
763300	395464	\N
763301	395466	\N
763302	395466	\N
763303	395460	\N
763304	395460	\N
763305	395460	\N
763306	395460	\N
763307	395460	\N
763308	395440	\N
763309	395440	\N
763310	395461	\N
763311	395461	\N
763312	395460	\N
763313	395460	\N
763314	395461	\N
763315	395461	\N
763316	395461	\N
763317	395461	\N
763318	395461	\N
763319	395461	\N
763320	395461	\N
763321	395461	\N
763322	395461	\N
763323	395461	\N
763324	395461	\N
763325	395461	\N
763326	395461	\N
763327	395461	\N
763328	395461	\N
763329	395461	\N
763330	395461	\N
763331	395461	\N
763332	395461	\N
763333	395461	\N
763334	395461	\N
763335	395461	\N
763336	395461	\N
763337	395461	\N
763338	395461	\N
763339	395461	\N
763340	395466	\N
763341	395461	\N
763342	395455	\N
763343	395452	\N
763344	395464	\N
763345	395455	\N
763346	395458	\N
763347	395458	\N
763348	395457	\N
763349	395456	\N
763350	395456	\N
763351	395454	\N
763352	395446	\N
763353	395447	\N
763354	395466	\N
763355	395461	\N
763356	395464	\N
763357	395448	\N
763358	395441	\N
763359	395449	\N
763360	395449	\N
763361	395449	\N
763362	395449	\N
763363	395449	\N
763364	395462	\N
763365	395462	\N
763366	395464	\N
763367	395449	\N
763368	395457	\N
763369	395456	\N
763370	395456	\N
763371	395458	\N
763372	395458	\N
763373	395450	\N
763374	395447	\N
763375	395464	\N
763376	395464	\N
763377	395464	\N
763378	395464	\N
763379	395450	\N
763380	395450	\N
763381	395445	\N
763382	395466	\N
763383	395458	\N
763384	395457	\N
763385	395464	\N
763386	395456	\N
763387	395450	\N
763388	395459	\N
763389	395466	\N
763390	395445	\N
763391	395445	\N
763392	395446	\N
763393	395456	\N
763394	395449	\N
763395	395438	\N
763396	395438	\N
763397	395438	\N
763398	395438	\N
763399	395438	\N
763400	395438	\N
763401	395438	\N
763402	395438	\N
763403	395438	\N
763404	\N	1005380
763405	395442	\N
763406	395464	\N
763407	395451	\N
763408	395451	\N
763409	395451	\N
763410	395451	\N
763411	395451	\N
763412	395458	\N
763413	395448	\N
763414	395458	\N
763415	395451	\N
763416	395457	\N
763417	395457	\N
763418	395449	\N
763419	395438	\N
763420	395451	\N
763421	395458	\N
763422	395450	\N
763423	395450	\N
763424	395450	\N
763425	395452	\N
763426	395452	\N
763427	395452	\N
763428	395452	\N
763429	395457	\N
763430	395438	\N
763431	395464	\N
763432	395446	\N
763433	395464	\N
763434	395452	\N
763435	395451	\N
763436	395451	\N
763437	395441	\N
763438	395462	\N
763439	395462	\N
763440	395462	\N
763441	395455	\N
763442	395457	\N
763443	395462	\N
763444	395450	\N
763445	395450	\N
763446	395451	\N
763447	395451	\N
763448	395451	\N
763449	395451	\N
763450	395451	\N
763451	395451	\N
763452	395451	\N
763453	395451	\N
763454	395458	\N
763455	395451	\N
763456	395443	\N
763457	395458	\N
763458	395450	\N
763459	395450	\N
763460	395450	\N
763461	395450	\N
763462	395438	\N
763463	395438	\N
763464	395451	\N
763465	395452	\N
763466	395438	\N
763467	395438	\N
763468	395438	\N
763469	395439	\N
763470	395439	\N
763471	395439	\N
763472	395439	\N
763473	395439	\N
763474	395439	\N
763475	395439	\N
763476	395439	\N
763477	395439	\N
763478	395439	\N
763479	395439	\N
763480	395439	\N
763481	395439	\N
763482	395439	\N
763483	395439	\N
763484	395439	\N
763485	395439	\N
763486	395439	\N
763487	395466	\N
763488	395450	\N
763489	395450	\N
763490	395450	\N
763491	395450	\N
763492	395450	\N
763493	395445	\N
763494	395445	\N
763495	395466	\N
763496	395464	\N
763497	395464	\N
763498	395446	\N
763499	395446	\N
763500	395446	\N
763501	395446	\N
763502	395451	\N
763503	395438	\N
763504	395464	\N
763505	395452	\N
763506	395452	\N
763507	395454	\N
763508	395457	\N
763509	395440	\N
763510	395440	\N
763511	395440	\N
763512	395440	\N
763513	395440	\N
763514	395440	\N
763515	395440	\N
763516	395440	\N
763517	395440	\N
763518	395440	\N
763519	395440	\N
763520	395440	\N
763521	395440	\N
763522	395440	\N
763523	395440	\N
763524	395440	\N
763525	395440	\N
763526	395440	\N
763527	395440	\N
763528	395440	\N
763529	395440	\N
763530	395440	\N
763531	395440	\N
763532	395440	\N
763533	395440	\N
763534	395440	\N
763535	395440	\N
763536	395440	\N
763537	395440	\N
763538	395440	\N
763539	395440	\N
763540	395440	\N
763541	395451	\N
763542	395462	\N
763543	395462	\N
763544	395462	\N
763545	395462	\N
763546	395462	\N
763547	395462	\N
763548	395462	\N
763549	395462	\N
763550	395462	\N
763551	395462	\N
763552	395464	\N
763553	395440	\N
763554	395440	\N
763555	395446	\N
763556	395446	\N
763557	395446	\N
763558	395450	\N
763559	395450	\N
763560	395444	\N
763561	395438	\N
763562	395455	\N
763563	395455	\N
763564	395443	\N
763565	395438	\N
763566	395463	\N
763567	395456	\N
763568	395461	\N
763569	395461	\N
763570	395461	\N
763571	395461	\N
763572	395456	\N
763573	395464	\N
763574	395464	\N
763575	395445	\N
763576	395452	\N
763577	395462	\N
763578	395443	\N
763579	395442	\N
763580	395442	\N
763581	395442	\N
763582	395442	\N
763583	395442	\N
763584	395442	\N
763585	395442	\N
763586	395442	\N
763587	395442	\N
763588	395442	\N
763589	395451	\N
763590	395463	\N
763591	395466	\N
763592	395466	\N
763593	395466	\N
763594	395466	\N
763595	395443	\N
763596	395442	\N
763597	395447	\N
763598	395444	\N
763599	395444	\N
763600	395444	\N
763601	395444	\N
763602	395444	\N
763603	395444	\N
763604	395444	\N
763605	395444	\N
763606	395444	\N
763607	395444	\N
763608	395444	\N
763609	395444	\N
763610	395444	\N
